Time(mm/dd/yyyy),Carbon dioxide(ppm),Temperature(°F),Relative humidity(%),Atmospheric pressure(hPa)
10/12/2022 7:38:03 PM,"1054","79.3","40","1017"
10/12/2022 7:39:03 PM,"1071","79.3","40","1017"
10/12/2022 7:40:03 PM,"1009","79.3","40","1017"
10/12/2022 7:41:03 PM,"1012","79.3","40","1017"
10/12/2022 7:42:03 PM,"998","79.3","40","1017"
10/12/2022 7:43:03 PM,"995","79.3","40","1017"
10/12/2022 7:44:03 PM,"1016","79.3","40","1017"
10/12/2022 7:45:03 PM,"1009","79.3","40","1017"
10/12/2022 7:46:03 PM,"1002","79.3","40","1017"
10/12/2022 7:47:03 PM,"1009","79.3","40","1017"
10/12/2022 7:48:03 PM,"980","79.3","40","1017"
10/12/2022 7:49:03 PM,"985","79.3","40","1017"
10/12/2022 7:50:03 PM,"990","79.3","40","1017"
10/12/2022 7:51:03 PM,"968","79.3","40","1017"
10/12/2022 7:52:03 PM,"1006","79.3","40","1017"
10/12/2022 7:53:03 PM,"979","79.3","40","1017"
10/12/2022 7:54:03 PM,"1007","79.3","41","1017"
10/12/2022 7:55:03 PM,"958","79.3","41","1017"
10/12/2022 7:56:03 PM,"1003","79.3","41","1017"
10/12/2022 7:57:03 PM,"1015","79.3","41","1017"
10/12/2022 7:58:03 PM,"1034","79.3","41","1017"
10/12/2022 7:59:03 PM,"1047","79.3","41","1017"
10/12/2022 8:00:03 PM,"1021","79.3","41","1017"
10/12/2022 8:01:03 PM,"1053","79.4","41","1017"
10/12/2022 8:02:03 PM,"1112","79.4","41","1017"
10/12/2022 8:03:03 PM,"1094","79.5","41","1017"
10/12/2022 8:04:03 PM,"1158","79.6","41","1017"
10/12/2022 8:05:03 PM,"1166","79.6","41","1017"
10/12/2022 8:06:03 PM,"1170","79.7","41","1017"
10/12/2022 8:07:03 PM,"1177","79.8","41","1017"
10/12/2022 8:08:03 PM,"1163","79.7","41","1017"
10/12/2022 8:09:03 PM,"1172","79.8","41","1017"
10/12/2022 8:10:03 PM,"1176","79.8","41","1017"
10/12/2022 8:11:03 PM,"1169","79.9","41","1017"
10/12/2022 8:12:03 PM,"1170","79.8","41","1017"
10/12/2022 8:13:03 PM,"1126","79.8","41","1017"
10/12/2022 8:14:03 PM,"1180","79.8","41","1017"
10/12/2022 8:15:03 PM,"1126","79.7","41","1017"
10/12/2022 8:16:03 PM,"1091","79.7","41","1017"
10/12/2022 8:17:03 PM,"1133","79.7","41","1017"
10/12/2022 8:18:03 PM,"1118","79.7","41","1017"
10/12/2022 8:19:03 PM,"1134","79.7","41","1017"
10/12/2022 8:20:03 PM,"1146","79.7","41","1017"
10/12/2022 8:21:03 PM,"1140","79.6","41","1017"
10/12/2022 8:22:03 PM,"1056","79.6","41","1017"
10/12/2022 8:23:03 PM,"1096","79.6","41","1017"
10/12/2022 8:24:03 PM,"1094","79.5","41","1017"
10/12/2022 8:25:03 PM,"1128","79.5","41","1018"
10/12/2022 8:26:03 PM,"1124","79.5","41","1017"
10/12/2022 8:27:03 PM,"1101","79.5","41","1017"
10/12/2022 8:28:03 PM,"1085","79.4","41","1017"
10/12/2022 8:29:03 PM,"1107","79.5","41","1017"
10/12/2022 8:30:03 PM,"1108","79.5","41","1017"
10/12/2022 8:31:03 PM,"1090","79.4","41","1017"
10/12/2022 8:32:03 PM,"1091","79.5","41","1017"
10/12/2022 8:33:03 PM,"1074","79.5","41","1017"
10/12/2022 8:34:03 PM,"1065","79.5","40","1017"
10/12/2022 8:35:03 PM,"1061","79.4","40","1017"
10/12/2022 8:36:03 PM,"1048","79.5","40","1017"
10/12/2022 8:37:03 PM,"1059","79.4","40","1017"
10/12/2022 8:38:03 PM,"1045","79.4","40","1017"
10/12/2022 8:39:03 PM,"984","79.4","40","1017"
10/12/2022 8:40:03 PM,"993","79.4","40","1017"
10/12/2022 8:41:03 PM,"1052","79.4","40","1017"
10/12/2022 8:42:03 PM,"1007","79.4","41","1017"
10/12/2022 8:43:03 PM,"1048","79.4","41","1017"
10/12/2022 8:44:03 PM,"1074","79.5","41","1017"
10/12/2022 8:45:03 PM,"1043","79.5","41","1017"
10/12/2022 8:46:03 PM,"1060","79.5","41","1017"
10/12/2022 8:47:03 PM,"1057","79.5","41","1017"
10/12/2022 8:48:03 PM,"1039","79.6","41","1017"
10/12/2022 8:49:03 PM,"1074","79.6","41","1017"
10/12/2022 8:50:03 PM,"1062","79.6","41","1017"
10/12/2022 8:51:03 PM,"1096","79.7","41","1017"
10/12/2022 8:52:03 PM,"1069","79.7","41","1017"
10/12/2022 8:53:03 PM,"1107","79.8","41","1017"
10/12/2022 8:54:03 PM,"1091","79.9","41","1017"
10/12/2022 8:55:03 PM,"1148","79.9","41","1017"
10/12/2022 8:56:03 PM,"1130","79.9","41","1017"
10/12/2022 8:57:03 PM,"1141","79.9","41","1018"
10/12/2022 8:58:03 PM,"1126","80.1","41","1017"
10/12/2022 8:59:03 PM,"1137","80.1","41","1017"
10/12/2022 9:00:03 PM,"1158","80.2","41","1017"
10/12/2022 9:01:03 PM,"1160","80.2","41","1017"
10/12/2022 9:02:03 PM,"1123","80.2","41","1017"
10/12/2022 9:03:03 PM,"1123","80.2","41","1017"
10/12/2022 9:04:03 PM,"1153","80.2","41","1017"
10/12/2022 9:05:03 PM,"1254","80.2","41","1017"
10/12/2022 9:06:03 PM,"1210","80.2","41","1017"
10/12/2022 9:07:03 PM,"1179","80.2","41","1017"
10/12/2022 9:08:03 PM,"1163","80.2","41","1017"
10/12/2022 9:09:03 PM,"1122","80.2","41","1017"
10/12/2022 9:10:03 PM,"1097","80.2","41","1017"
10/12/2022 9:11:03 PM,"1125","80.2","41","1017"
10/12/2022 9:12:03 PM,"1134","80.2","41","1017"
10/12/2022 9:13:03 PM,"980","80.1","40","1017"
10/12/2022 9:14:03 PM,"1086","80.1","40","1017"
10/12/2022 9:15:03 PM,"1053","80.1","40","1017"
10/12/2022 9:16:03 PM,"902","80.1","40","1018"
10/12/2022 9:17:03 PM,"709","80.0","40","1018"
10/12/2022 9:18:03 PM,"664","80.0","39","1017"
10/12/2022 9:19:03 PM,"853","79.9","39","1017"
10/12/2022 9:20:03 PM,"848","79.8","39","1017"
10/12/2022 9:21:03 PM,"683","79.7","40","1018"
10/12/2022 9:22:03 PM,"814","79.7","42","1017"
10/12/2022 9:23:03 PM,"808","80.0","40","1017"
10/12/2022 9:24:03 PM,"853","80.3","40","1017"
10/12/2022 9:25:03 PM,"883","80.7","40","1017"
10/12/2022 9:26:03 PM,"954","81.2","39","1017"
10/12/2022 9:27:03 PM,"960","81.0","39","1017"
10/12/2022 9:28:03 PM,"989","80.8","39","1017"
10/12/2022 9:29:27 PM,"1006","80.4","39","1017"
10/12/2022 9:30:27 PM,"1008","80.1","39","1018"
10/12/2022 9:31:27 PM,"1060","79.6","39","1017"
10/12/2022 9:32:27 PM,"1054","79.3","39","1017"
10/12/2022 9:33:27 PM,"1080","79.0","39","1017"
10/12/2022 9:34:27 PM,"1044","78.7","39","1017"
10/12/2022 9:35:27 PM,"1052","78.3","40","1017"
10/12/2022 9:36:27 PM,"1076","78.1","40","1017"
10/12/2022 9:37:27 PM,"1065","77.8","40","1017"
10/12/2022 9:38:27 PM,"1083","77.5","40","1017"
10/12/2022 9:39:27 PM,"1082","77.4","40","1017"
10/12/2022 9:40:27 PM,"1087","77.1","40","1017"
10/12/2022 9:41:27 PM,"1089","77.0","40","1017"
10/12/2022 9:42:27 PM,"1071","76.7","40","1017"
10/12/2022 9:43:27 PM,"1107","76.5","41","1017"
10/12/2022 9:44:27 PM,"1095","76.4","41","1017"
10/12/2022 9:45:27 PM,"1138","76.3","41","1017"
10/12/2022 9:46:27 PM,"1100","76.1","41","1017"
10/12/2022 9:47:27 PM,"1103","76.0","41","1017"
10/12/2022 9:48:27 PM,"1087","75.8","41","1017"
10/12/2022 9:49:27 PM,"1123","75.7","41","1017"
10/12/2022 9:50:27 PM,"1129","75.6","41","1017"
10/12/2022 9:51:27 PM,"1130","75.5","41","1017"
10/12/2022 9:52:27 PM,"1138","75.4","41","1017"
10/12/2022 9:53:27 PM,"1138","75.3","41","1017"
10/12/2022 9:54:27 PM,"1145","75.2","41","1017"
10/12/2022 9:55:27 PM,"1164","75.0","41","1018"
10/12/2022 9:56:27 PM,"1161","74.9","42","1017"
10/12/2022 9:57:27 PM,"1146","74.8","42","1017"
10/12/2022 9:58:27 PM,"1154","74.8","42","1017"
10/12/2022 9:59:27 PM,"1155","74.7","42","1017"
10/12/2022 10:00:27 PM,"1151","74.6","42","1017"
10/12/2022 10:01:27 PM,"1145","74.6","42","1017"
10/12/2022 10:02:27 PM,"1143","74.4","42","1017"
10/12/2022 10:03:27 PM,"1157","74.4","42","1017"
10/12/2022 10:04:27 PM,"1185","74.3","42","1017"
10/12/2022 10:05:27 PM,"1157","74.2","42","1017"
10/12/2022 10:06:27 PM,"1167","74.1","42","1017"
10/12/2022 10:07:27 PM,"1178","74.0","42","1017"
10/12/2022 10:08:27 PM,"1157","74.0","42","1017"
10/12/2022 10:09:27 PM,"1159","73.9","42","1017"
10/12/2022 10:10:27 PM,"1163","73.8","42","1017"
10/12/2022 10:11:27 PM,"1154","73.8","42","1018"
10/12/2022 10:12:27 PM,"1163","73.8","43","1017"
10/12/2022 10:13:27 PM,"1178","73.8","43","1017"
10/12/2022 10:14:27 PM,"1187","73.7","43","1017"
10/12/2022 10:15:27 PM,"1174","73.6","43","1017"
10/12/2022 10:16:27 PM,"1162","73.6","43","1017"
10/12/2022 10:17:27 PM,"1179","73.4","43","1017"
10/12/2022 10:18:27 PM,"1190","73.4","43","1017"
10/12/2022 10:19:27 PM,"1184","73.4","43","1018"
10/12/2022 10:20:27 PM,"1196","73.3","43","1018"
10/12/2022 10:21:27 PM,"1192","73.2","43","1017"
10/12/2022 10:22:27 PM,"1189","73.2","43","1018"
10/12/2022 10:23:27 PM,"1217","73.1","43","1017"
10/12/2022 10:24:27 PM,"1203","73.1","43","1018"
10/12/2022 10:25:27 PM,"1208","73.0","43","1017"
10/12/2022 10:26:27 PM,"1206","73.0","43","1018"
10/12/2022 10:27:27 PM,"1212","73.0","43","1017"
10/12/2022 10:28:27 PM,"1202","73.0","43","1017"
10/12/2022 10:29:27 PM,"1217","73.0","43","1018"
10/12/2022 10:30:27 PM,"1195","73.0","43","1018"
10/12/2022 10:31:27 PM,"1229","72.9","43","1017"
10/12/2022 10:32:27 PM,"1207","72.8","44","1017"
10/12/2022 10:33:27 PM,"1205","72.8","44","1017"
10/12/2022 10:34:27 PM,"1200","72.7","44","1018"
10/12/2022 10:35:27 PM,"1208","72.7","44","1018"
10/12/2022 10:36:27 PM,"1199","72.7","44","1017"
10/12/2022 10:37:27 PM,"1220","72.6","44","1017"
10/12/2022 10:38:27 PM,"1227","72.5","44","1017"
10/12/2022 10:39:27 PM,"1234","72.6","44","1017"
10/12/2022 10:40:27 PM,"1224","72.5","44","1017"
10/12/2022 10:41:27 PM,"1240","72.5","44","1017"
10/12/2022 10:42:27 PM,"1235","72.5","44","1017"
10/12/2022 10:43:27 PM,"1245","72.4","44","1017"
10/12/2022 10:44:27 PM,"1234","72.3","44","1017"
10/12/2022 10:45:27 PM,"1236","72.3","44","1017"
10/12/2022 10:46:27 PM,"1223","72.3","44","1017"
10/12/2022 10:47:27 PM,"1227","72.2","44","1017"
10/12/2022 10:48:27 PM,"1248","72.2","44","1017"
10/12/2022 10:49:27 PM,"1245","72.2","44","1017"
10/12/2022 10:50:27 PM,"1217","72.2","44","1017"
10/12/2022 10:51:27 PM,"1235","72.1","44","1017"
10/12/2022 10:52:27 PM,"1213","72.1","44","1017"
10/12/2022 10:53:27 PM,"1219","72.1","44","1017"
10/12/2022 10:54:27 PM,"1220","72.0","44","1017"
10/12/2022 10:55:27 PM,"1241","72.0","44","1018"
10/12/2022 10:56:27 PM,"1253","72.0","44","1017"
10/12/2022 10:57:27 PM,"1257","72.0","45","1017"
10/12/2022 10:58:27 PM,"1249","72.0","45","1017"
10/12/2022 10:59:27 PM,"1282","72.0","45","1017"
10/12/2022 11:00:27 PM,"1273","71.9","45","1017"
10/12/2022 11:01:27 PM,"1263","71.8","45","1017"
10/12/2022 11:02:27 PM,"1249","71.9","45","1017"
10/12/2022 11:03:27 PM,"1231","71.8","45","1017"
10/12/2022 11:04:27 PM,"1236","71.8","45","1017"
10/12/2022 11:05:27 PM,"1229","71.8","45","1017"
10/12/2022 11:06:27 PM,"1236","71.8","45","1017"
10/12/2022 11:07:27 PM,"1262","71.8","45","1017"
10/12/2022 11:08:27 PM,"1237","71.7","45","1017"
10/12/2022 11:09:27 PM,"1236","71.7","45","1017"
10/12/2022 11:10:27 PM,"1243","71.7","45","1017"
10/12/2022 11:11:27 PM,"1235","71.6","45","1017"
10/12/2022 11:12:27 PM,"1227","71.6","45","1017"
