unique_internal_model_code,age_range,filtration_efficiency_percent,breathability_pascals,width_mm,height_mm,filter_type,style,strap_type,color,where_to_buy_url_1,where_to_buy_url_2,where_to_buy_url_3,image_url,filtration_efficiency_source,filtration_efficiency_notes,breatheability_pascals_source,breatheability_pascals_notes
TS Guard KF94 Certified Safety Face Mask,,98.7,150.0,,,KF94,Boat,Earloop,Black,https://www.amazon.com/Certified-4-Layered-Protection-Tri-Folding-3D-Ergonomic/dp/B09FVK5YTR/ref=sr_1_29?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-29,,,//www.armbrustusa.com/cdn/shop/articles/646_ts_guard_up.jpg?v=1641830161,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Rose Mask KF94,,99.43,131.0,,,KF94,Boat,Earloop,Black,https://www.amazon.com/Rose-Mask-Experience-protection-Comfortable/dp/B099NB86FN/ref=sr_1_31?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-31,,,//www.armbrustusa.com/cdn/shop/articles/647_rose_up.jpg?v=1641841366,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
All Keeper KF94 Face Safety Mask,,99.8,258.0,,,KF94,Boat,Earloop,Black,https://www.amazon.com/All-Keeper-Safety-4-Layers-Protection/dp/B08LYV2HMG/ref=sr_1_32?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-32,,,//www.armbrustusa.com/cdn/shop/articles/648_all_keeper_mfds_up.jpg?v=1641689153,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Weldots Fender Premium Mask,,99.82,213.92,,,KF94,Boat,Earloop,Grey,https://www.amazon.com/Weldots-Premium-Origami-Protection-Headbands/dp/B08WJP31R8/ref=sr_1_34_sspa?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-34-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExN0M3WDRXVDQ2UzhQJmVuY3J5cHRlZElkPUEwNzI0MTY3V0RPU0lMOEpEVEwzJmVuY3J5cHRlZEFkSWQ9QTAxMzgzMjFPRkVFTzY0S0lSVVMmd2lkZ2V0TmFtZT1zcF9tdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl,,,//www.armbrustusa.com/cdn/shop/articles/650_weldots_up.jpg?v=1676316785,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
SEJIN-AIRSOOM KF94 Face Mask,,98.98,168.0,,,KF94,Boat,Earloop,White,https://www.amazon.com/SEJIN-AIRSOOM-Reusable-Nonwoven-Cloth-Face/dp/B09FDV229Q/ref=sr_1_35_sspa?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-35-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExN0M3WDRXVDQ2UzhQJmVuY3J5cHRlZElkPUEwNzI0MTY3V0RPU0lMOEpEVEwzJmVuY3J5cHRlZEFkSWQ9QTAzMDgwNjM3S0xDRkJHNU1SUDQmd2lkZ2V0TmFtZT1zcF9tdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl,,,//www.armbrustusa.com/cdn/shop/articles/652_SEJIN-AIRSOOM_up.jpg?v=1676402270,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
SUMFREE KF94 BLACK MASK,,99.14,211.0,,,KF94,Boat,Earloop,Black,https://www.amazon.com/SUMFREE-protection-Comfortable-breathing-disposable/dp/B08XBNCGS4/ref=sr_1_40?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-40,,,//www.armbrustusa.com/cdn/shop/articles/653-sumfree-KN95_up.jpg?v=1676402280,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
EHH KF94 Mask,,99.49,194.0,,,KF94,Boat,Earloop,Multicolored,https://www.amazon.com/Individually-Disposable-Colorful-Breathable-Adjustable/dp/B09BJ1TPYB/ref=sr_1_50?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-50,,,//www.armbrustusa.com/cdn/shop/articles/655_ehh_up.jpg?v=1676317172,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Clean & Science Klaring KF94 Face Mask,,99.26,164.3,,,KF94,Boat,Earloop,White,https://www.amazon.com/Korea-included-Individual-Packaged-KLARING/dp/B08KRS7SM9/ref=sr_1_56?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-56,,,//www.armbrustusa.com/cdn/shop/articles/656_klaring_up.jpg?v=1676402480,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
TRY MASK Premium KN-Flax Face Mask,,99.51,185.0,,,KF94,Boat,Earloop,Black,https://www.amazon.com/20Packs-KF94-Black-Protective-Individually/dp/B08Y5ZV8HR/ref=sr_1_60?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-60,,,//www.armbrustusa.com/cdn/shop/articles/658_try_mask_premium_up.jpg?v=1641830017,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
3M Aura Particulate Respirator 9205+ N95,,99.86,123.0,,,N95,Boat,Headstrap,White,https://www.amazon.com/3M-Aura-Particulate-Respirator-White/dp/B095DVPTCT/ref=sr_1_2?dchild=1&keywords=3m%2Baura%2B9205%2B&qid=1634216583&sr=8-2&th=1,,,//www.armbrustusa.com/cdn/shop/articles/221-_Aura3m9205-N95_.HEIC_cd342a40-d724-4204-b027-b01af36b7cfb.jpg?v=1676403585,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
ReadiMask Strapless N95,,97.42,104.4,,,N95,Duckbill,,Grey,,,,//www.armbrustusa.com/cdn/shop/articles/660_ReadiMask.jpg?v=1676317914,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
ACI Surgical N95 Respirator,,99.42,133.0,,,N95,Duckbill,Headstrap,Blue,https://www.armbrustusa.com/products/aci-n95-surgical-respirator-duckbill,,,//www.armbrustusa.com/cdn/shop/articles/ACI.png?v=1676401392,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Gerson N95 Model 3230+,,96.89,55.6,,,N95,Duckbill,Headstrap,White,https://www.armbrustusa.com/products/gerson-3230-n95-respirator-duckbill?variant=39583817040005,,,//www.armbrustusa.com/cdn/shop/articles/664_gerson_up.jpg?v=1676403553,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Gerson Model 3230 N95 Respirator,,96.88,46.8,,,N95,Duckbill,Headstrap,White,https://www.armbrustusa.com/products/gerson-3230-n95-respirator-duckbill,,,//www.armbrustusa.com/cdn/shop/articles/665_gerson_copy.jpg?v=1676401547,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Novita Surgical Respirator,,99.58,155.38,,,CE,Flat-Fold,Headstrap,White,https://www.amazon.com/Surgical-Respirator-Headband-Certified-Singapore/dp/B08PY3TTW7/ref=sr_1_6?dchild=1&keywords=novita+Surgical+Respirator&qid=1633724610&s=industrial&sr=1-6,,,//www.armbrustusa.com/cdn/shop/articles/666_novita_up.jpg?v=1675895573,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Brave New Look Kids KN95 Mask,,98.3,145.0,,,KN95,Flat-Fold,Earloop,Blue,,,,//www.armbrustusa.com/cdn/shop/articles/670_brave_new_look_kids.jpg?v=1675894558,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
MISSAA Kids KN95 Face Mask,,98.7,204.0,,,KN95,Flat-Fold,Earloop,Graphics,https://www.amazon.com/KN95-Children-5-Layers-Tie-dye-Disposable/dp/B096F329YW?ref_=ast_sto_dp&th=1&psc=1,,,//www.armbrustusa.com/cdn/shop/articles/671_missaa_up.jpg?v=1676399940,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Dr. Smile K KF94 Disposable Face Masks,,99.89,141.0,,,KF94,Boat,Earloop,Black,https://www.amazon.com/Dr-Smile-Disposable-Unisex-Certified/dp/B08Y99G6CB/ref=sr_1_8?crid=3T8ZR69WR06J4&dchild=1&keywords=dr.+smile+kf94+masks&qid=1633723529&sprefix=dr.+smile+kf%2Caps%2C212&sr=8-8,,,//www.armbrustusa.com/cdn/shop/articles/DrSmileK.jpg?v=1676402491,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Covaflu Face Mask,,99.8,150.0,,,KN95,Flat-Fold,Earloop,White,https://www.amazon.com/COVAFLU-KN95-Disposable-Fold-Masks/dp/B089P1RC2K/ref=sr_1_23?dchild=1&keywords=ffp2+mask&qid=1633724281&sr=8-23,,,//www.armbrustusa.com/cdn/shop/articles/528-Covaflu-KN95_copy.jpg?v=1676401688,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
JCJZ KN95 Face Mask,,99.02,203.0,,,KN95,Flat-Fold,Earloop,White,https://www.amazon.com/dp/B08MZZ6P9V/ref=sspa_dk_detail_5?psc=1&pd_rd_i=B08MZZ6P9V&pd_rd_w=PliCh&pf_rd_p=887084a2-5c34-4113-a4f8-b7947847c308&pd_rd_wg=ogcI6&pf_rd_r=ZRYXM58GADJSCZJZHNE8&pd_rd_r=3715ef48-df34-4af6-8fad-4f908414cb05&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzU01USDkxMlNSVEZEJmVuY3J5cHRlZElkPUEwOTE4Njg5MlJGUzVPRlJBNFpZUyZlbmNyeXB0ZWRBZElkPUEwNzA4MjQ4MkhVUFZLSkI4VjYwNiZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,,,//www.armbrustusa.com/cdn/shop/articles/677_jcjz_up.jpg?v=1642192433,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Aoxing KN95 Advanced Filtration Respirator,,99.65,131.0,,,KN95,Flat-Fold,Earloop,White,https://www.amazon.com/KN95-Advanced-Filtration-Respirator-Masks/dp/B08M4CPZCM/ref=sr_1_8?dchild=1&keywords=ffp2+mask&qid=1633724281&sr=8-8,,,//www.armbrustusa.com/cdn/shop/articles/679_aoxing_up.jpg?v=1675895556,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Little Lives PPE LL95 Mini (Ages 2-12) Mask,,97.9,191.0,,,KN95,Flat-Fold,Earloop,Black,,,,//www.armbrustusa.com/cdn/shop/articles/KN95_-_682_-_Little_Lives_PPE_up.jpg?v=1642192601,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Little Lives PPE LL95 The Max,,99.85,152.0,,,KN95,Flat-Fold,Earloop,Black,,,,//www.armbrustusa.com/cdn/shop/articles/KN95_-_683_-_LL95_Max_up.jpg?v=1676403000,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Be Healthy Posh KF94 Kids Mask,,98.69,183.0,,,KF94,Boat,Earloop,Grey,https://www.amazon.com/Pack-10-Posh-KF94-Mask/dp/B0947FS9YB/ref=sr_1_2?dchild=1&keywords=posh+kn94+kids+mask&qid=1635140002&sprefix=posh+kn%2Caps%2C105&sr=8-2,,,//www.armbrustusa.com/cdn/shop/articles/684-Be_Healthy-KF94_up.jpg?v=1641846277,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Well Before Kids KN95,,97.79,183.0,,,KN95,Flat-Fold,Earloop,White,https://wellbefore.com/products/kn95-disposable-fda-ce?variant=39285144518785,,,//www.armbrustusa.com/cdn/shop/articles/685_Well_Before_Kids_KN95_up.jpg?v=1642101269,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Well Before Kids KN95 3D (KF94 Style),,99.4,247.62,,,KN95,Boat,Earloop,White,https://wellbefore.com/products/kids-petite-faces-kn95-3d-style-kf94-adjustable#pid=5,,,//www.armbrustusa.com/cdn/shop/articles/Screen_Shot_2022-01-10_at_2.28.42_PM.png?v=1675894440,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Well Before Adults KN95,,98.2,167.0,,,KN95,Flat-Fold,Earloop,Blue,https://wellbefore.com/products/kn95-disposable-fda-ce?variant=39285144518785,,,//www.armbrustusa.com/cdn/shop/articles/687_-_WellBefore_Adults_KN95_up.jpg?v=1642101113,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Well Before Adults KF94 Style,,99.1,363.0,,,KN95,Boat,Earloop,White,https://wellbefore.com/products/kn95-mask-3d-style?variant=39286618423425,,,//www.armbrustusa.com/cdn/shop/articles/688_Well_Before_Adults_KF94_up.jpg?v=1641846093,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Bona Fide Masks Powecom KN95 kids,,99.3,130.0,,,KN95,Flat-Fold,Earloop,,https://bonafidemasks.com/powecom-kn95-sm-respirator-mask-10-masks-per-pack/,,,//www.armbrustusa.com/cdn/shop/articles/KN95-SM_3D_image__32969.1627926662.jpg?v=1641770218,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Vida FDA Registered Kids Mask with KN95 Protection,,97.4,203.0,,,KN95,Flat-Fold,Earloop,Green,,,,//www.armbrustusa.com/cdn/shop/articles/691vidakidskn95.jpg?v=1675894589,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Vida - FDA Registered KF94 Kids Mask,,99.9,333.0,,,KF94,Boat,Earloop,Pink,,,,//www.armbrustusa.com/cdn/shop/articles/692vidakidskf94.jpg?v=1676401153,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Evolve Together mount fuji kids white KN95 masks,,98.09,231.0,,,KN95,Flat-Fold,Earloop,White,https://evolvetogether.com/collections/kids-size-face-masks/products/mount-fuji-5-kids-white-kn95-masks,,,//www.armbrustusa.com/cdn/shop/articles/748-EvolveTogether-Surgical-_2_-.HEIC_23fb4dd7-94ee-4612-a8c1-08510505abb5.jpg?v=1676317892,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Korean Version Masks,,97.18,201.0,,,KF94,Boat,Earloop,White,,,,//www.armbrustusa.com/cdn/shop/articles/749-KoreanVersion-KN95_up.jpg?v=1676402346,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Prestige Ameritech ProGear Respirator and Surgical Mask,,98.64,99.3,,,N95,Duckbill,Headstrap,White,https://www.armbrustusa.com/products/prestige-ameritech-progear-rp88020-n95-particulate-filter-respirator-and-surgical-mask?variant=39573911535749,,,//www.armbrustusa.com/cdn/shop/articles/753_prestige_ameritech.png?v=1676403537,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Mask C Adult KN95 Lime,,97.4,251.0,,,KN95,Flat-Fold,Earloop,Green,,,,//www.armbrustusa.com/cdn/shop/articles/756-_Mask_C_-_Adult_e9139893-6e5a-4f84-ac17-b9473858065d.jpg?v=1676401052,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
1Med 4LPR1,,96.91,199.07,,,KN95,Flat-Fold,Earloop,White,,,,//www.armbrustusa.com/cdn/shop/articles/Guangdong_Medical_Technology_Co.1MED-4LPR1_1.png?v=1676395215,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Nuokang Medical KN95 Non-Surgical Disposable Particulate FFR,,95.13,166.71,,,KN95,Flat-Fold,Earloop,White,,,,//www.armbrustusa.com/cdn/shop/articles/Guangdong_Nuokang_Medical_Technology_Co._LtdKN95_Non-Surgical_DisposableParticulate_FFR1.png?v=1676320458,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Dr Mfyan KN95 Three-Dimensional Protective Face Mask,,99.49,285.37,,,KN95,Flat-Fold,Earloop,White,,,,//www.armbrustusa.com/cdn/shop/articles/Guangdong_Zhizhen_Biological_Medicine_Co._Ltd._1.png?v=1676320970,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Powecom KN95 Protective Mask,,99.21,86.3,,,KN95,Flat-Fold,Earloop,White,,,,//www.armbrustusa.com/cdn/shop/articles/Guangzhou_Baoweikang_Powecom_Personal_Protection_Equipment_Co._Ltd.1.png?v=1676320589,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Harley L-103V KN95,,99.02,109.83,,,KN95,Flat-Fold,Earloop,White,,,,//www.armbrustusa.com/cdn/shop/articles/Guangzhou_Harley_Commodity_Co._Ltd.L-103V_KN95_1.png?v=1676319169,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Harley L-188,,99.38,125.53,,,N95,Flat-Fold,Headstrap,White,,,,//www.armbrustusa.com/cdn/shop/articles/Guangzhou_Harley_Commodity_Co._Ltd.L-188_1.png?v=1676403668,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Harley L-288,,97.98,100.03,,,N95,Cup,Headstrap,White,,,,//www.armbrustusa.com/cdn/shop/articles/Guangzhou_Harley_Commodity_Co._Ltd.L-288_1.png?v=1676319178,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Nan Qi Xing KN-1 5 Layers,,97.19,156.91,,,KN95,Flat-Fold,Earloop,White,,,,//www.armbrustusa.com/cdn/shop/articles/Guangzhou_Nan_Qi_Xing_Nonwoven_Co._Ltd.KN-1_5_Layers1.png?v=1676320410,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
Nan Qi Xing KN-1,,95.26,129.45,,,KN95,Flat-Fold,Earloop,White,,,,//www.armbrustusa.com/cdn/shop/articles/Guangzhou_Nan_Qi_Xing_Nonwoven_Co._Ltd.KN-1_1.png?v=1676320420,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate)
