unique_internal_model_code,age_range,filtration_efficiency_percent,breathability_pascals,width_mm,height_mm,filter_type,style,strap_type,color,where_to_buy_url_1,where_to_buy_url_2,where_to_buy_url_3,image_url,filtration_efficiency_source,filtration_efficiency_notes,breathability_pascals_source,breathability_pascals_notes,uimc_lower,initial_cost_us_dollars,depth_mm,mass_grams
AnanBros KN95 Face Mask for Kids,,99.14,200.0,,,KN95,Bifold,Earloop,Multicolored,https://www.amazon.com/AnanBros-Face-Mask-kids-Adults/dp/B08P85H3KQ/ref=sr_1_12?crid=302OFE7X4V022&dchild=1&keywords=kids+kn95+mask&qid=1633728055&sprefix=kids+kn%2Caps%2C222&sr=8-12,,,//www.armbrustusa.com/cdn/shop/articles/600_AnanBros_up.jpg?v=1645108177,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),ananbros kn95 face mask for kids,,,
ANYGUARD KF94 Face Mask,,98.07,199.0,,,KF94,Boat,Earloop,White,https://www.amazon.com/Packs-ANYGUARD-Korea-Individually-Packaged/dp/B09647FDDV/ref=sr_1_21_sspa?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-21-spons&psc=1&smid=ACMO75GXNHXKX&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExN0M3WDRXVDQ2UzhQJmVuY3J5cHRlZElkPUEwNzI0MTY3V0RPU0lMOEpEVEwzJmVuY3J5cHRlZEFkSWQ9QTAxNjk2MTMxQUVEWDkzVE1BVjRFJndpZGdldE5hbWU9c3BfbXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,,,//www.armbrustusa.com/cdn/shop/articles/645_anyguard_up.jpg?v=1641830201,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),anyguard kf94 face mask,,,
AOTDAOU KF94 Leaf Mask,,99.78,261.0,,,KF94,Boat,Earloop,Black,https://www.amazon.com/Individually-Disposable-Comfortable-Breathable-Adjustable/dp/B099K8RVT2/ref=sr_1_8?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94%2Bmask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-8&th=1,,,//www.armbrustusa.com/cdn/shop/articles/637_aotdaou_leaf_up.jpg?v=1676317137,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),aotdaou kf94 leaf mask,,,
AOTDAOU KN95 Kids Mask,,98.41,210.0,,,KN95,Bifold,Earloop,Multicolored,https://www.amazon.com/Designed-Individual-Breathable-Comfortable-Adjustable/dp/B08XTP6SLN/ref=sr_1_14?crid=302OFE7X4V022&dchild=1&keywords=kids+kn95+mask&qid=1633728055&sprefix=kids+kn%2Caps%2C222&sr=8-14,,,//www.armbrustusa.com/cdn/shop/articles/605_AOTDAOU_copy.jpg?v=1675894655,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),aotdaou kn95 kids mask,,,
Aoxing KN95 Advanced Filtration Respirator,,99.65,131.0,,,KN95,Bifold,Earloop,White,https://www.amazon.com/KN95-Advanced-Filtration-Respirator-Masks/dp/B08M4CPZCM/ref=sr_1_8?dchild=1&keywords=ffp2+mask&qid=1633724281&sr=8-8,,,//www.armbrustusa.com/cdn/shop/articles/679_aoxing_up.jpg?v=1675895556,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),aoxing kn95 advanced filtration respirator,,,
Armbrust Kids KN95[US Made],6-11,97.8,109.0,100.0,120.0,KN95,Bifold,,,https://www.armbrustusa.com/products/armbrust-usa-made-kids-kn95-mask,,,https://www.armbrustusa.com/cdn/shop/files/pediatrickn95_blue_1000x.webp?v=1718400356,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",armbrust kids kn95[us made],,,
Armbrust KN95 GB2626-2019,,98.61,155.14,,,KN95,Bifold,Earloop,White,https://www.armbrustusa.com/products/us-made-kn95-mask,,,//www.armbrustusa.com/cdn/shop/articles/KN95PNG_1000x_636b582b-9996-4d11-a076-93f8a2d79194.png?v=1675894408,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),armbrust kn95 gb2626-2019,,,
ARUN - KN95 Face Mask,,99.89,95.3,,,KN95,Bifold,Earloop,White,https://www.amazon.com/gp/product/B08C4XRFXN/ref=ppx_od_dt_b_asin_title_s00?ie=UTF8&psc=1,,,//www.armbrustusa.com/cdn/shop/articles/518-Arum-KN95.jpg?v=1675895507,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),arun - kn95 face mask,,,
Be Healthy Posh KF94 - Kids,,98.69,183.0,,,KF94,Boat,Earloop,Grey,https://www.amazon.com/Pack-10-Posh-KF94-Mask/dp/B0947FS9YB/ref=sr_1_2?dchild=1&keywords=posh+kn94+kids+mask&qid=1635140002&sprefix=posh+kn%2Caps%2C105&sr=8-2,,,//www.armbrustusa.com/cdn/shop/articles/684-Be_Healthy-KF94_up.jpg?v=1641846277,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),be healthy posh kf94 - kids,,,
BIO-th Protective Mask,,99.48,170.9,,,KN95,Bifold,Earloop,White,https://www.amazon.com/gp/product/B089344XZF/ref=ppx_od_dt_b_asin_title_s08?ie=UTF8&psc=1,,,//www.armbrustusa.com/cdn/shop/articles/534-BioTech-KN95_up.jpg?v=1676396491,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),bio-th protective mask,,,
Birdy Friends Kids Mask,6-10,98.7,122.0,157.0,69.0,KF94,,,,https://www.everydayemall.com/collections/ppe/products/birdy-friends-cartoon-pattern-mask-for-kids-made-in-korea,https://www.yesmask.net/product/limited-special-pricebirdy-friends-kids-kf94-mask-pitta-blueback-ordership-out-2-1-21/,https://www.yesmask.net/product/limited-special-pricebirdy-friends-kids-kf94-mask-zelda-pinkback-ordership-out-2-1-21/,https://www.yesmask.net/wp-content/uploads/2021/01/Zelda-copy.jpg,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",birdy friends kids mask,,,
BLSCODE - Non-Medical Protective KN95 Masks,,99.82,102.3,,,KN95,Bifold,Earloop,White,https://www.amazon.com/gp/product/B08CXBGK5L/ref=ppx_od_dt_b_asin_title_s00?ie=UTF8&psc=1,,,//www.armbrustusa.com/cdn/shop/articles/523-_BLSCode_-_Kn95_1.jpg?v=1675894535,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),blscode - non-medical protective kn95 masks,,,
Blue 2D KF94 Kids Mask,6-11,99.7,247.0,98.0,120.0,KF94,Bifold,,,https://behealthyusa.net/collections/blue-industry-1/products/blue-kf94-mask-small-kid-size?variant=36886975709348,,,https://behealthyusa.net/cdn/shop/products/BLUE_2D_S_BK_KF94_01.jpg?v=1643087217,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",blue 2d kf94 kids mask,,,
Blue Tiger Kids Mask,4-9,99.4,129.0,155.0,70.0,KF94,Boat,,,https://shop.projectn95.org/blue-tiger-childrens-sized-white-3d-fold-kf94-mask/p,https://behealthyusa.net/collections/blue-industry-1/products/blue-kf94-kf80-tiger-3d-masks-small-kid-size,https://www.everydaybeautylab.com/blue-kf94-tiger-3d-masks-small-kid-size-white/,https://behealthyusa.net/cdn/shop/products/BLUE_TIGER_3D_S_WHITE_KF94.jpg?v=1715614244,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",blue tiger kids mask,,,
BluNa Kids KF94 Face Protective Mask,,99.3,147.0,,,KF94,Boat,Earloop,White,https://www.amazon.com/20Packs-KIDS-KF94-Protective-Individually/dp/B08X47VFH7/ref=sr_1_40?crid=302OFE7X4V022&dchild=1&keywords=kids+kn95+mask&qid=1633728055&sprefix=kids+kn%2Caps%2C222&sr=8-40,,,//www.armbrustusa.com/cdn/shop/articles/611_Kn_Flax_BluNa_up.jpg?v=1641841051,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),bluna kids kf94 face protective mask,,,
Bluna Kids Mask,4-9,98.8,94.0,160.0,66.0,KF94,Boat,,,https://behealthyusa.net/collections/bluna-1/products/facefit-kf94-white-small-kids,https://kollecteusa.com/collections/blunakf94/products/bluna-kf94-kids,,https://www.protectly.co/products/bluna-kf94-mask?_pos=1&_sid=4bb600221&_ss=r,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",bluna kids mask,,,
BNX KN95 Face Mask,,97.54,86.9,,,KN95,Bifold,Earloop,White,https://www.amazon.com/Registered-Disposable-Particulate-Respirator-GB2626-2019/dp/B08SHTDCD5/ref=sr_1_24?crid=3USYR0ZAG3U0P&dchild=1&keywords=well+before+kn95+masks&qid=1633721495&sprefix=well+bef%2Caps%2C227&sr=8-24,,,//www.armbrustusa.com/cdn/shop/articles/580_bnx_up.jpg?v=1676401382,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),bnx kn95 face mask,,,
